server-name,server-dc,server-region
Anima,Mana,JP
Asura,Mana,JP
Chocobo,Mana,JP
Hades,Mana,JP
Ixion,Mana,JP
Masamune,Mana,JP
Pandaemonium,Mana,JP
Titan,Mana,JP
Aegis,Elemental,JP
Atomos,Elemental,JP
Carbuncle,Elemental,JP
Garuda,Elemental,JP
Gungnir,Elemental,JP
Kujata,Elemental,JP
Tonberry,Elemental,JP
Typhon,Elemental,JP
Belias,Meteor,JP
Mandragora,Meteor,JP
Ramuh,Meteor,JP
Shinryu,Meteor,JP
Unicorn,Meteor,JP
Valefor,Meteor,JP
Yojimbo,Meteor,JP
Zeromus,Meteor,JP
Alexander,Gaia,JP
Bahamut,Gaia,JP
Durandal,Gaia,JP
Fenrir,Gaia,JP
Ifrit,Gaia,JP
Ridill,Gaia,JP
Tiamat,Gaia,JP
Ultima,Gaia,JP
